newsentences,element_id,sentence_id,word_count,sentiment,sentiment label
It use to work just fine,1,1,6,0.204124145,Positive
Not user friendly,2,1,3,-0.433012702,Nagative
Soon as hubby needs a new phone we will say bye bye to att,3,1,14,0.213808994,Positive
 Even a 5 year old can make a better app,4,1,9,0.266666667,Positive
This may be the end of our years-long relationship,5,1,9,0,Neutral
9Wish i could rate it Zero ??????,6,1,6,0.326598632,Positive
not bad ,7,1,2,0.530330086,Positive
Get rid of the CrApple ads,8,1,6,0,Neutral
t's been going on for a while and I'm sick of calling,9,1,12,-0.216506351,Nagative
Irritating!!,10,1,1,-0.75,Nagative
I hate this app it's the worst of the worst,11,1,10,-0.553398591,Nagative
Without a doubt the worst app I have ever used which explains a lot because it came from the worst company I have ever had to do business with,12,1,29,-0.324966842,Nagative
I'm going too see if I can file a report too them about these issues,13,1,15,0,Neutral
This app is hands down the worst thing I've ever used,14,1,11,-0.150755672,Nagative
Super disappointing app from such a good cell provider,15,1,9,0.166666667,Positive
10302This new app is not user friendlyuser experience1 selected 1,16,1,8,0.282842712,Positive
10095You claim to be the best but the reality is different,17,1,11,0.373874067,Positive
??,18,1,NA,0,Neutral
Very dissatisfied!,19,1,2,-0.954594155,Nagative
I am not satisfactory,20,1,4,-0.4,Nagative
Wastage of time!,21,1,3,0,Neutral
Cant use it internationally !,22,1,4,0,Neutral
stupid app,23,1,2,-0.707106781,Nagative
Never gonna uss indigo,24,1,4,0,Neutral
Very Bad ,25,1,2,-0.954594155,Nagative
They fooled us to show much costly airfare,26,1,8,-0.601040764,Nagative
Even bookings earlier showing disappeared ,27,1,5,-0.268328157,Nagative
What an idiotic app ,28,1,4,-0.5,Nagative
"So, Worth giving 1 star",29,1,4,0.8,Positive
this mobile app is atrocious How the hell did it pass scrutiny?,30,1,12,-0.548482756,Nagative
t's just a waste of time and phone memory installing and using this app,31,1,14,-0.200445931,Nagative
I am very irritated,32,1,4,-0.45,Nagative
Practically not usable,33,1,3,-0.346410162,Nagative
Not working well,34,1,3,-0.606217783,Nagative
it sucks,35,1,2,-0.353553391,Nagative
terrible,36,1,1,-0.75,Nagative
what the hell,37,1,3,-0.461880215,Nagative
pathetic,38,1,1,-0.75,Nagative
hate it,39,1,2,-0.530330086,Nagative
horrible service,40,1,2,-0.530330086,Nagative
many issue ,41,1,2,0,Neutral
login has issues,42,1,3,0,Neutral
trouble logging in ,43,1,3,-0.288675135,Nagative
cheaters,44,1,1,-0.5,Nagative
minus ratings,45,1,2,0,Neutral
fix this problem ,46,1,3,-0.433012702,Nagative
Wish I could give it negative rating of -10,47,1,8,0.01767767,Positive
what a joke ,48,1,3,0.346410162,Positive
rediculous service,49,1,2,0,Neutral
"Used to be good, use BA all the time, but cannot pick seats, cannot upgrade as all end in a blank white screen Are they trying to lose money and customers?",50,1,31,0.625026451,Positive
Does the job,51,1,3,0,Neutral
Does what you want,52,1,4,0,Neutral
totally ineffective,53,1,2,-1.272792206,Nagative
 BAjet is racing to the bottom !,54,1,6,0,Neutral
Used to work perfectly,55,1,4,0.375,Positive
without perfection,56,1,2,0.353553391,Positive
idiotic app ,57,1,2,-0.707106781,Nagative
shameful for the company ,58,1,4,-0.5,Nagative
hey cancelled my booking without any information & they refunded my money after deducting insurance,59,1,14,0.267261242,Positive
I will never choose go air again,60,1,7,0,Neutral
Complete wastage of time,61,1,4,0,Neutral
Look like fake app,62,1,4,-0.125,Nagative
Really money minded people,63,1,4,0.54,Positive
he app looks like hacked together by a couple of students using assets drawn in Paint,64,1,16,0.1,Positive
It allows me to get cheap airline tickets,65,1,8,-0.176776695,Nagative
 Not at all helpful for users,66,1,6,-0.306186218,Nagative
 You people have made a joke of your application ,67,1,9,0.2,Positive
still no luck ,68,1,3,-0.433012702,Nagative
" It is strongly recommended to not book through go air as god knows when your flight will be non operational, denied boarding etc",69,1,23,-0.385751666,Nagative
Don't book early in goair flight because they can cancel the flight at any time without any reason,70,1,18,-0.035355339,Nagative
Go Air must explain/apologise/compensate for such fraudulent and unethical business practice,71,1,11,-0.256284643,Nagative
wake up guys ,72,1,3,0,Neutral
 The ground staff thinks that we are fool,73,1,8,-0.265165043,Nagative
Rating in negative,74,1,3,-0.433012702,Nagative
Mobile app is classic,75,1,4,0.25,Positive
dont deserve any rating,76,1,4,0.125,Positive
would rate 0,77,1,2,0,Neutral
This app is too good without errors,78,1,7,0,Neutral
 Or success has gone into your head,79,1,7,0.283473355,Positive
I wish I could give one star,80,1,7,0.529150262,Positive
app is broken,81,1,3,-0.433012702,Nagative
The app is neat and works fine,82,1,7,0.491353815,Positive
"The airline is great, but the app developer is awful",83,1,10,-0.626130977,Nagative
Used to be very handy ,84,1,5,0.402492236,Positive
