newsentences,element_id,sentence_id,word_count,sentiment,sentiment label
It use to work just fine,1,1,6,0,Neutral
Not user friendly,2,1,3,-0.577350269,Nagative
Soon as hubby needs a new phone we will say bye bye to att,3,1,14,0,Neutral
 Even a 5 year old can make a better app,4,1,9,0,Neutral
This may be the end of our years-long relationship,5,1,9,0,Neutral
9Wish i could rate it Zero ??????,6,1,6,0,Neutral
not bad ,7,1,2,0.707106781,Positive
Get rid of the CrApple ads,8,1,6,0,Neutral
t's been going on for a while and I'm sick of calling,9,1,12,-0.288675135,Nagative
Irritating!!,10,1,1,-1,Nagative
I hate this app it's the worst of the worst,11,1,10,-0.316227766,Nagative
Without a doubt the worst app I have ever used which explains a lot because it came from the worst company I have ever had to do business with,12,1,29,-0.185695338,Nagative
I'm going too see if I can file a report too them about these issues,13,1,15,0,Neutral
This app is hands down the worst thing I've ever used,14,1,11,0,Neutral
Super disappointing app from such a good cell provider,15,1,9,0,Neutral
10302This new app is not user friendlyuser experience1 selected 1,16,1,8,0,Neutral
10095You claim to be the best but the reality is different,17,1,11,0,Neutral
??,18,1,NA,0,Neutral
Very dissatisfied!,19,1,2,0,Neutral
I am not satisfactory,20,1,4,0,Neutral
Wastage of time!,21,1,3,0,Neutral
Cant use it internationally !,22,1,4,0,Neutral
stupid app,23,1,2,-0.707106781,Nagative
Never gonna uss indigo,24,1,4,0,Neutral
Very Bad ,25,1,2,-1.272792206,Nagative
They fooled us to show much costly airfare,26,1,8,0,Neutral
Even bookings earlier showing disappeared ,27,1,5,0,Neutral
What an idiotic app ,28,1,4,-0.5,Nagative
"So, Worth giving 1 star",29,1,4,1.5,Positive
this mobile app is atrocious How the hell did it pass scrutiny?,30,1,12,-0.866025404,Nagative
t's just a waste of time and phone memory installing and using this app,31,1,14,-0.267261242,Nagative
I am very irritated,32,1,4,0,Neutral
Practically not usable,33,1,3,0,Neutral
Not working well,34,1,3,-0.577350269,Nagative
it sucks,35,1,2,0,Neutral
terrible,36,1,1,-1,Nagative
what the hell,37,1,3,-0.577350269,Nagative
pathetic,38,1,1,-1,Nagative
hate it,39,1,2,-0.707106781,Nagative
horrible service,40,1,2,-0.707106781,Nagative
many issue ,41,1,2,0,Neutral
login has issues,42,1,3,0,Neutral
trouble logging in ,43,1,3,0,Neutral
cheaters,44,1,1,0,Neutral
minus ratings,45,1,2,0,Neutral
fix this problem ,46,1,3,-0.577350269,Nagative
Wish I could give it negative rating of -10,47,1,8,-0.707106781,Nagative
what a joke ,48,1,3,-0.577350269,Nagative
rediculous service,49,1,2,0,Neutral
"Used to be good, use BA all the time, but cannot pick seats, cannot upgrade as all end in a blank white screen Are they trying to lose money and customers?",50,1,31,0,Neutral
Does the job,51,1,3,0.577350269,Positive
Does what you want,52,1,4,0,Neutral
totally ineffective,53,1,2,-1.272792206,Nagative
 BAjet is racing to the bottom !,54,1,6,-0.40824829,Nagative
Used to work perfectly,55,1,4,0,Neutral
without perfection,56,1,2,0.707106781,Positive
idiotic app ,57,1,2,-0.707106781,Nagative
shameful for the company ,58,1,4,-0.5,Nagative
hey cancelled my booking without any information & they refunded my money after deducting insurance,59,1,14,0.534522484,Positive
I will never choose go air again,60,1,7,0,Neutral
Complete wastage of time,61,1,4,0,Neutral
Look like fake app,62,1,4,-0.5,Nagative
Really money minded people,63,1,4,0.9,Positive
he app looks like hacked together by a couple of students using assets drawn in Paint,64,1,16,0.25,Positive
It allows me to get cheap airline tickets,65,1,8,-0.353553391,Nagative
 Not at all helpful for users,66,1,6,-0.40824829,Nagative
 You people have made a joke of your application ,67,1,9,-0.333333333,Nagative
still no luck ,68,1,3,-0.577350269,Nagative
" It is strongly recommended to not book through go air as god knows when your flight will be non operational, denied boarding etc",69,1,23,-0.208514414,Nagative
Don't book early in goair flight because they can cancel the flight at any time without any reason,70,1,18,0,Neutral
Go Air must explain/apologise/compensate for such fraudulent and unethical business practice,71,1,11,0,Neutral
wake up guys ,72,1,3,0,Neutral
 The ground staff thinks that we are fool,73,1,8,-0.353553391,Nagative
Rating in negative,74,1,3,-1.154700538,Nagative
Mobile app is classic,75,1,4,0.5,Positive
dont deserve any rating,76,1,4,0,Neutral
would rate 0,77,1,2,0,Neutral
This app is too good without errors,78,1,7,0.377964473,Positive
 Or success has gone into your head,79,1,7,0.377964473,Positive
I wish I could give one star,80,1,7,0.377964473,Positive
app is broken,81,1,3,-0.577350269,Nagative
The app is neat and works fine,82,1,7,0,Neutral
"The airline is great, but the app developer is awful",83,1,10,-0.78424486,Nagative
Used to be very handy ,84,1,5,0.804984472,Positive
