newsentences,element_id,sentence_id,word_count,sentiment,sentiment label
It use to work just fine,1,1,6,0.289175872,Positive
Not user friendly,2,1,3,-0.108253175,Nagative
Soon as hubby needs a new phone we will say bye bye to att,3,1,14,-0.011135885,Nagative
 Even a 5 year old can make a better app,4,1,9,0.322222222,Positive
This may be the end of our years-long relationship,5,1,9,0,Neutral
9Wish i could rate it Zero ??????,6,1,6,0.153093109,Positive
not bad ,7,1,2,0.366180297,Positive
Get rid of the CrApple ads,8,1,6,-0.030618622,Nagative
t's been going on for a while and I'm sick of calling,9,1,12,-0.216506351,Nagative
Irritating!!,10,1,1,-0.5,Nagative
I hate this app it's the worst of the worst,11,1,10,-0.592927061,Nagative
Without a doubt the worst app I have ever used which explains a lot because it came from the worst company I have ever had to do business with,12,1,29,-0.25533109,Nagative
I'm going too see if I can file a report too them about these issues,13,1,15,-0.045184806,Nagative
This app is hands down the worst thing I've ever used,14,1,11,-0.179022361,Nagative
Super disappointing app from such a good cell provider,15,1,9,0.239583333,Positive
10302This new app is not user friendlyuser experience1 selected 1,16,1,8,-0.058925565,Nagative
10095You claim to be the best but the reality is different,17,1,11,0.420608326,Positive
??,18,1,NA,0,Neutral
Very dissatisfied!,19,1,2,0,Neutral
I am not satisfactory,20,1,4,0,Neutral
Wastage of time!,21,1,3,0.360843918,Positive
Cant use it internationally !,22,1,4,0.041666667,Positive
stupid app,23,1,2,0,Neutral
Never gonna uss indigo,24,1,4,0,Neutral
Very Bad ,25,1,2,-0.659124535,Nagative
They fooled us to show much costly airfare,26,1,8,0.139211648,Positive
Even bookings earlier showing disappeared ,27,1,5,-0.00931695,Nagative
What an idiotic app ,28,1,4,0.3125,Positive
"So, Worth giving 1 star",29,1,4,0.125,Positive
this mobile app is atrocious How the hell did it pass scrutiny?,30,1,12,-0.324759526,Nagative
t's just a waste of time and phone memory installing and using this app,31,1,14,0.202116314,Positive
I am very irritated,32,1,4,0,Neutral
Practically not usable,33,1,3,0,Neutral
Not working well,34,1,3,-0.421812107,Nagative
it sucks,35,1,2,0,Neutral
terrible,36,1,1,-0.625,Nagative
what the hell,37,1,3,-0.312731396,Nagative
pathetic,38,1,1,-0.75,Nagative
hate it,39,1,2,-0.176776695,Nagative
horrible service,40,1,2,-0.441941738,Nagative
many issue ,41,1,2,0,Neutral
login has issues,42,1,3,0,Neutral
trouble logging in ,43,1,3,-0.187638837,Nagative
cheaters,44,1,1,0,Neutral
minus ratings,45,1,2,-0.618718434,Nagative
fix this problem ,46,1,3,-0.523223681,Nagative
Wish I could give it negative rating of -10,47,1,8,0.095754043,Positive
what a joke ,48,1,3,0.245373864,Positive
rediculous service,49,1,2,0,Neutral
"Used to be good, use BA all the time, but cannot pick seats, cannot upgrade as all end in a blank white screen Are they trying to lose money and customers?",50,1,31,-0.181805467,Nagative
Does the job,51,1,3,-0.126295371,Nagative
Does what you want,52,1,4,0.0625,Positive
totally ineffective,53,1,2,0,Neutral
 BAjet is racing to the bottom !,54,1,6,-0.051031036,Nagative
Used to work perfectly,55,1,4,0.046875,Positive
without perfection,56,1,2,-0.353553391,Nagative
idiotic app ,57,1,2,0.441941738,Positive
shameful for the company ,58,1,4,0,Neutral
hey cancelled my booking without any information & they refunded my money after deducting insurance,59,1,14,0,Neutral
I will never choose go air again,60,1,7,0.047245559,Positive
Complete wastage of time,61,1,4,0.375,Positive
Look like fake app,62,1,4,-0.104166667,Nagative
Really money minded people,63,1,4,0,Neutral
he app looks like hacked together by a couple of students using assets drawn in Paint,64,1,16,-0.21875,Nagative
It allows me to get cheap airline tickets,65,1,8,-0.247487373,Nagative
 Not at all helpful for users,66,1,6,-0.153093109,Nagative
 You people have made a joke of your application ,67,1,9,0.141666667,Positive
still no luck ,68,1,3,0.061858957,Positive
" It is strongly recommended to not book through go air as god knows when your flight will be non operational, denied boarding etc",69,1,23,-0.182450112,Nagative
Don't book early in goair flight because they can cancel the flight at any time without any reason,70,1,18,0.11785113,Positive
Go Air must explain/apologise/compensate for such fraudulent and unethical business practice,71,1,11,0,Neutral
wake up guys ,72,1,3,0.216506351,Positive
 The ground staff thinks that we are fool,73,1,8,0.110485435,Positive
Rating in negative,74,1,3,-0.216506351,Nagative
Mobile app is classic,75,1,4,0.4375,Positive
dont deserve any rating,76,1,4,0.0625,Positive
would rate 0,77,1,2,-0.088388348,Nagative
This app is too good without errors,78,1,7,0.129925288,Positive
 Or success has gone into your head,79,1,7,-0.393712993,Nagative
I wish I could give one star,80,1,7,0.244102055,Positive
app is broken,81,1,3,-0.036084392,Nagative
The app is neat and works fine,82,1,7,0.299221874,Positive
"The airline is great, but the app developer is awful",83,1,10,-0.147045911,Nagative
Used to be very handy ,84,1,5,-0.100623059,Nagative
